                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                0.64747,                 0.4791,                 1.1487,                0.96812,                0.98103,                0.99071,                 0.8181,                0.75307,                 0.3527,                  1.301,              0.0030205,              0.0030205,              0.0030205
                    143,                0.64417,                0.48001,                 1.1432,                0.98861,                0.97094,                0.99204,                0.82326,                0.72503,                0.33422,                 1.2704,               0.002971,               0.002971,               0.002971
                    144,                0.63344,                0.47138,                 1.1382,                  0.977,                0.97332,                0.99219,                0.82759,                0.71966,                0.32796,                 1.2655,              0.0029215,              0.0029215,              0.0029215
                    145,                0.63085,                0.46449,                  1.135,                0.98473,                0.97789,                0.99308,                0.82769,                0.72868,                0.32572,                 1.2882,               0.002872,               0.002872,               0.002872
                    146,                 0.6426,                0.47563,                 1.1369,                0.98582,                0.97906,                0.99342,                 0.8285,                0.71801,                0.33098,                 1.2849,              0.0028225,              0.0028225,              0.0028225
                    147,                0.61693,                0.46265,                  1.128,                0.98275,                0.96318,                 0.9904,                0.82599,                0.72215,                0.33918,                 1.2773,               0.002773,               0.002773,               0.002773
                    148,                0.63869,                0.47989,                 1.1471,                0.98077,                0.96777,                0.98923,                0.81926,                0.72451,                0.34024,                 1.2796,              0.0027235,              0.0027235,              0.0027235
                    149,                0.62691,                0.47455,                 1.1433,                0.98604,                0.97729,                 0.9926,                 0.8219,                 0.7296,                0.33861,                  1.293,               0.002674,               0.002674,               0.002674
                    150,                0.61328,                0.46054,                 1.1264,                0.98645,                0.97316,                0.99289,                0.82675,                0.71934,                0.33824,                 1.2671,              0.0026245,              0.0026245,              0.0026245
                    151,                 0.6083,                 0.4525,                 1.1101,                0.97015,                0.97685,                0.98952,                0.81657,                 0.7176,                0.33273,                 1.2677,               0.002575,               0.002575,               0.002575
                    152,                0.60715,                 0.4629,                 1.1213,                0.98472,                0.97154,                0.99209,                0.82238,                0.72459,                0.33071,                 1.2683,              0.0025255,              0.0025255,              0.0025255
                    153,                0.60626,                0.44615,                 1.1193,                0.98186,                0.98441,                0.99222,                0.82972,                0.71364,                0.33232,                 1.2663,               0.002476,               0.002476,               0.002476
                    154,                0.61068,                0.46069,                 1.1268,                0.98154,                0.97767,                0.99173,                0.82286,                0.73332,                0.33484,                 1.2731,              0.0024265,              0.0024265,              0.0024265
